번호,카테고리,이름,본문,이미지
1,R.A.칩,CR-1 집중형,"구현화 프로토콜: CR-1, 통칭 집중형.$CR-1은 지정된 한 점에 R.A를 집중시켜 마치 레이저와 같이 일직선으로 출력한다.$가장 안정적인 구현화 프로토콜이나, 근소한 범위 내에서만 구현이 가능하다는 단점을 지녔다.",Normal_CR1
2,R.A.칩,HZ-3 사격형,"구현화 프로토콜:  HZ-3 , 통칭 사격형.$HZ-3는 R.A를 안정적 구현과 사거리를 동시에 충족시키기 위해 개발되었다.$R.A를 뭉쳐 덩어리 단위를 만들어 사격하듯이 방출하여 어느 정도 사거리 확보가 가능해졌다.",Normal_HZ3
3,R.A.칩,SQ-5 격류형,"구현화 프로토콜:  SQ-5, 통칭 격류형.$SQ-5는 R.A를 구현할 때 유기체적으로 실존하는 이레귤러의 모습을 인공적으로 재현하여 구현하는 것을 목표로 개발된 프로토콜이다.$불완전한 유사 이레귤러의 형태를 구성하게 되는 SQ-5는, 그 별칭인 '격류형' 답게 생성 좌표 주변을 마구 휘저으며 날아다니다 일정 시간 뒤 사라지는 모습을 보인다.",Normal_SQ5
4,R.A.칩,VT-4 낙뢰형,"구현화 프로토콜:  VT-4, 통칭 낙뢰형.$VT-4는 거리와 상관 없이 지정된 좌표에 R.A를 구현화하는 것을 목표로 개발된 프로토콜이다.$아직 불완전하여 장거리는 불가능하나 어느 정도 원거리에 떨어진 지정 좌표에 낙뢰와 같이 R.A를 구현화하는 등, 성과를 거두고 있다.",Normal_VT4
5,R.A.칩,DX-2 결정형,"구현화 프로토콜:  DX-2, 통칭 결정형.$DX-2는 무기질 유형의 이레귤러를 재현하기 위한 프로토콜이다.$현실에 존재하지 않는 원소로 이루어진 결정화된 R.A가 주변으로 뻗어나가게 된다.",Normal_DX2
6,R.A.칩,타입: A,"힌두교의 5원소 중, 물을 상징하는 Apas의 이름을 가져온 타입의 R.A.$아카샤의 요소 중 실제 물리적 에너지를 생성하는 부분만을 모아 R.A 중 가장 안정적이고 변수가 없는 타입이다.",
7,R.A.칩,타입: T,"힌두교의 5원소 중, 불을 상징하는 Tejas의 이름을 가져온 타입의 R.A.$아카샤의 요소 중 소멸과 관계된 부분을 규정화한 R.A.$타입:T는 물리적 파괴를 넘어선 소멸의 개념으로 이레귤러들에게도 큰 피해를 줄 수 있는 것으로 확인되었다.",
8,R.A.칩,타입: P,"힌두교의 5원소 중, 대지를 상징하는 Prithvi의 이름을 가져온 타입의 R.A.$아카샤의 요소 중 공간과 관련된 부분을 규정화한 R.A.$타입: P의 R.A는 연구소 전반의 아공간 생성 및 포탈 기술에 응용되었다.",
9,R.A.칩,타입: V,"힌두교의 5원소 중, 공기를 상징하는 Vayu의 이름을 가져온 타입의 R.A.$아카샤의 요소 중 거부, 제한과 관련된 부분을 규정화한 R.A.$이레귤러들이 물리적 피해를 거의 입지 않는 이유인 아카샤 역장을 인공적으로 만들어내는 근원. 이레귤러 격리 및 연구소 시설과 연구원 보호용 아카샤 역장 생성 기술에 응용되었다.",
10,R.A.칩,타입: 아카샤,"규정화되지 않은 아카샤의 비율이 높은 R.A 타입.$규정화되지 않은 아카샤 영역의 존재로 구현화에 소모되는 에너지량이 불규칙적으로 증감하며, 구현화 자체가 불안정하다.$그러나 선택적으로 특정 요소만을 뽑아 규정화한 R.A와는 다르게, 원본 이레귤러의 개성과 능력이 강하게 반영되어 있다.",
